Name,Result,Workers,Verdict,,Precision: 90/100,,,,,,,,,,Correct,Wrong
MilanChrisGordy,other,,Correct,,,,,,,,,,,,,
WorkFirst,other,,Correct,,,,,,,,,,,,,
KarinaWaltersCD,other,,Correct,,,,,,,,,,,,,
swiftpisadora,other,,Correct,,,,,,,,,,,,,
Eiichiro_Staff,other,,Correct,,,,,,,,,,,,,
NancyLeeGrahn,other,,Correct,,,,,,,,,,,,,
ESPNMcGee,other,,Correct,,,,,,,,,,,,,
BIO_OFFICIAL,other,,Correct,,,,,,,,,,,,,
WoWMovieFans,movie,,Correct,,,,,,,,,,,,,
bibbymoynihan,other,,Correct,,,,,,,,,,,,,
thesmurfsmovie_,movie,,Correct,,,,,,,,,,,,,
evil_movie,movie,,Correct,,,,,,,,,,,,,
TheSopranosClub,show,,,Correct,,,,,,,,,,,,,
Valdoesit,other,,Correct,,,,,,,,,,,,,
petenowalk,other,,Correct,,,,,,,,,,,,,
MelissaGisoni,other,,Correct,,,,,,,,,,,,,
CocksureLads,movie,,Correct,,,,,,,,,,,,,
transformers,movie,,Correct,,,,,,,,,,,,,
TherionEden,other,,Correct,,,,,,,,,,,,,
773gmoney,movie,,Wrong,other,,,,,,,,,,,,
iam_POOCHHALL,other,,Correct,,,,,,,,,,,,,
TheGiftofGhosts,other,,Correct,,,,,,,,,,,,,
UCLA,other,,Correct,,,,,,,,,,,,,
_penguin182,other,,Correct,,,,,,,,,,,,,
YourLifePart2,other,,Correct,,,,,,,,,,,,,
XenaDeb,other,,Correct,,,,,,,,,,,,,
deetails,other,,Correct,,,,,,,,,,,,,
OnlyWayIsEssex,show,,Correct,,,,,,,,,,,,,
MandoMichael,other,,Correct,,,,,,,,,,,,,
GeoffreyArend,other,,Correct,,,,,,,,,,,,,
TheOrlandoJones,other,,Correct,,,,,,,,,,,,,
transguys,other,,Correct,,,,,,,,,,,,,
thor_mightythor,other,,Correct,,,,,,,,,,,,,
TheBronzeMovie,movie,,Correct,,,,,,,,,,,,,
dkayevo,other,,Correct,,,,,,,,,,,,,
MichaelGladis,other,,Correct,,,,,,,,,,,,,
Rings2017,movie,,Correct,,,,,,,,,,,,,
noel_fisher,other,,Correct,,,,,,,,,,,,,
ReignMovie,movie,,Correct,,,,,,,,,,,,,
CastleMovie,movie,,Correct,,,,,,,,,,,,,
mrattnight,other,,Correct,,,,,,,,,,,,,
mrattnight,movie,,Wrong,other,,,,,,,,,,,,
NYAngel24,other,,Correct,,,,,,,,,,,,,
Navycpowif,other,,Correct,,,,,,,,,,,,,
EugeneMirman,other,,Correct,,,,,,,,,,,,,
sunshine_type,other,,Correct,,,,,,,,,,,,,
HotelTanslvania,movie,,Correct,,,,,,,,,,,,,
